"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.1892,48.686,-0.30561,1.0099e+05,0.14121,295.82,0.31525,0.059965,0
1.1893,48.506,-0.89477,1.0099e+05,0.14071,295.83,0.34585,0.059568,0
1.1893,48.298,-1.4308,1.01e+05,0.14014,295.84,0.3776,0.058786,0
1.1894,48.069,-1.9156,1.0101e+05,0.13952,295.84,0.41031,0.05763,0
1.1895,47.826,-2.3508,1.0102e+05,0.13887,295.85,0.44378,0.056121,0
1.1896,47.575,-2.7401,1.0103e+05,0.1382,295.86,0.47778,0.054287,0
1.1897,47.32,-3.0868,1.0104e+05,0.13752,295.88,0.51206,0.052163,0
1.1898,47.065,-3.3949,1.0106e+05,0.13684,295.89,0.54638,0.049788,0
1.1899,46.814,-3.6696,1.0107e+05,0.13617,295.9,0.58048,0.047205,0
1.19,46.57,-3.914,1.0108e+05,0.13552,295.91,0.61413,0.044456,0
1.1901,46.338,-4.134,1.011e+05,0.1349,295.93,0.64709,0.041587,0
1.1902,46.118,-4.3339,1.0111e+05,0.13432,295.94,0.67914,0.038638,0
1.1903,45.913,-4.5149,1.0112e+05,0.13377,295.95,0.7101,0.035649,0
1.1904,45.727,-4.682,1.0113e+05,0.13328,295.96,0.73982,0.032656,0
1.1905,45.56,-4.8399,1.0115e+05,0.13285,295.97,0.76815,0.029692,0
1.1906,45.417,-4.9884,1.0116e+05,0.13248,295.98,0.795,0.026783,0
1.1907,45.302,-5.1296,1.0117e+05,0.13219,295.99,0.82031,0.023954,0
1.1908,45.22,-5.2688,1.0118e+05,0.132,296,0.84403,0.021225,0
1.1909,45.178,-5.4052,1.0119e+05,0.13192,296,0.86614,0.018611,0
1.191,45.186,-5.5408,1.012e+05,0.13199,296,0.88667,0.016124,0
1.1911,45.256,-5.6834,1.0121e+05,0.13225,296,0.90564,0.013773,0
1.1912,45.406,-5.8305,1.0121e+05,0.13273,296,0.92309,0.011562,0
1.1913,45.656,-5.9895,1.0122e+05,0.13351,295.99,0.9391,0.009496,0
1.1913,46.024,-6.1674,1.0122e+05,0.13464,295.98,0.95372,0.007573,0
1.1913,46.527,-6.3603,1.0121e+05,0.13617,295.96,0.96704,0.005792,0
1.1912,47.155,-6.5676,1.0119e+05,0.13805,295.94,0.97914,0.00415,0
1.1903,47.81,-6.7543,1.0113e+05,0.14001,295.97,0.9901,0.002641,0
1.1702,40.405,-8.4026,99143,0.12015,295.14,1,0.00126,0
1.1508,32.687,0.00016022,97209,0.099374,294.27,1,0,0
1.1508,32.686,9.9709,97209,0.099375,294.26,1,-0.00126,0
1.1919,41.747,5.4516,1.0113e+05,0.12215,295.59,1.0012,-0.0025,0
1.1926,41.836,5.629,1.0116e+05,0.12249,295.5,0.99045,-0.004558,0
1.1935,41.918,5.7869,1.0121e+05,0.1228,295.41,0.9794,-0.006181,0
1.1936,41.896,5.7137,1.0122e+05,0.12271,295.42,0.96728,-0.007825,0
1.1936,41.874,5.6027,1.0123e+05,0.1226,295.44,0.95396,-0.009595,0
1.1935,41.881,5.4868,1.0122e+05,0.12257,295.46,0.93933,-0.011508,0
1.1934,41.926,5.3765,1.0122e+05,0.12266,295.47,0.92332,-0.013565,0
1.1933,42.006,5.2684,1.0121e+05,0.12285,295.48,0.90586,-0.015767,0
1.1932,42.115,5.1577,1.012e+05,0.12312,295.48,0.88689,-0.018111,0
1.1931,42.248,5.0487,1.0119e+05,0.12347,295.48,0.86636,-0.020592,0
1.1929,42.402,4.9347,1.0118e+05,0.12387,295.48,0.84424,-0.0232,0
1.1928,42.571,4.8149,1.0117e+05,0.12432,295.47,0.82051,-0.025925,0
1.1927,42.753,4.6907,1.0116e+05,0.12481,295.46,0.7952,-0.02875,0
1.1926,42.947,4.5575,1.0115e+05,0.12533,295.45,0.76834,-0.031655,0
1.1926,43.152,4.4138,1.0114e+05,0.12588,295.44,0.74,-0.034617,0
1.1925,43.366,4.26,1.0112e+05,0.12646,295.43,0.71028,-0.037608,0
1.1924,43.589,4.092,1.0111e+05,0.12706,295.42,0.67931,-0.040595,0
1.1923,43.821,3.9053,1.011e+05,0.12768,295.4,0.64725,-0.043542,0
1.1922,44.059,3.6989,1.0108e+05,0.12832,295.39,0.61429,-0.046411,0
1.1921,44.303,3.4688,1.0107e+05,0.12898,295.37,0.58063,-0.049159,0
1.192,44.551,3.2097,1.0106e+05,0.12964,295.36,0.54652,-0.051743,0
1.1919,44.8,2.9186,1.0104e+05,0.13031,295.34,0.51219,-0.054118,0
1.1918,45.048,2.5909,1.0103e+05,0.13097,295.33,0.47789,-0.056243,0
1.1917,45.291,2.2227,1.0102e+05,0.13162,295.32,0.44388,-0.058078,0
1.1916,45.524,1.811,1.0101e+05,0.13225,295.3,0.4104,-0.059588,0
1.1915,45.742,1.3521,1.01e+05,0.13284,295.29,0.37767,-0.060745,0
1.1915,45.94,0.84481,1.0099e+05,0.13338,295.28,0.3459,-0.06153,0
1.1915,46.11,0.28738,1.0099e+05,0.13385,295.28,0.31527,-0.061929,0
1.1915,46.248,-0.32147,1.0099e+05,0.13426,295.27,0.28594,-0.061939,0
1.1915,46.346,-0.98242,1.0099e+05,0.13457,295.27,0.25804,-0.061567,0
1.1915,46.398,-1.694,1.0099e+05,0.13478,295.27,0.23165,-0.060825,0
1.1916,46.397,-2.4565,1.01e+05,0.13488,295.27,0.20684,-0.059732,0
1.1917,46.335,-3.2719,1.0101e+05,0.13484,295.28,0.18364,-0.058315,0
1.1918,46.205,-4.1414,1.0102e+05,0.13466,295.29,0.16207,-0.0566,0
1.192,45.997,-5.0644,1.0104e+05,0.13433,295.31,0.14211,-0.05462,0
1.1922,45.699,-6.0425,1.0106e+05,0.13381,295.32,0.12373,-0.052403,0
1.1924,45.298,-7.0831,1.0109e+05,0.13308,295.35,0.10688,-0.049979,0
1.1927,44.775,-8.1875,1.0113e+05,0.13212,295.38,0.091496,-0.047376,0
1.1931,44.106,-9.3612,1.0118e+05,0.13087,295.42,0.077517,-0.044617,0
1.1936,43.26,-10.612,1.0124e+05,0.12927,295.47,0.064866,-0.04172,0
1.1942,42.191,-11.945,1.0131e+05,0.12725,295.54,0.053467,-0.038699,0
1.195,40.836,-13.358,1.0141e+05,0.12467,295.63,0.043245,-0.035561,0
1.1959,39.106,-14.837,1.0153e+05,0.12136,295.74,0.034127,-0.032306,0
1.1972,36.878,-16.343,1.0169e+05,0.11702,295.9,0.026048,-0.028924,0
1.1989,33.982,-17.777,1.0191e+05,0.11124,296.11,0.018957,-0.025394,0
1.2012,30.203,-18.921,1.022e+05,0.10336,296.4,0.01282,-0.021683,0
1.2042,25.356,-19.327,1.0259e+05,0.092441,296.79,0.007637,-0.017744,0
1.2079,19.495,-18.228,1.0308e+05,0.077358,297.28,0.003459,-0.013537,0
1.2117,13.374,-14.685,1.0359e+05,0.057526,297.81,0.000402,-0.009069,0
1.2146,8.7325,-8.2893,1.0398e+05,0.035297,298.23,-0.001402,-0.004472,0
1.2156,7.0596,-5.7995e-05,1.0412e+05,0.024175,298.39,-0.001962,-0,0
1.2146,8.7324,8.2891,1.0398e+05,0.035297,298.23,-0.001402,0.004472,0
1.2117,13.374,14.685,1.0359e+05,0.057526,297.81,0.000402,0.009069,0
1.2079,19.495,18.228,1.0308e+05,0.077358,297.28,0.003459,0.013537,0
1.2042,25.356,19.327,1.0259e+05,0.092441,296.79,0.007637,0.017744,0
1.2012,30.203,18.92,1.022e+05,0.10336,296.4,0.01282,0.021683,0
1.1989,33.982,17.777,1.0191e+05,0.11124,296.11,0.018957,0.025394,0
1.1972,36.878,16.343,1.0169e+05,0.11702,295.9,0.026048,0.028924,0
1.1959,39.106,14.837,1.0153e+05,0.12135,295.74,0.034127,0.032306,0
1.195,40.836,13.358,1.0141e+05,0.12467,295.63,0.043245,0.035561,0
1.1942,42.191,11.945,1.0131e+05,0.12725,295.54,0.053467,0.038699,0
1.1936,43.26,10.612,1.0124e+05,0.12927,295.47,0.064866,0.04172,0
1.1931,44.106,9.3612,1.0118e+05,0.13087,295.42,0.077517,0.044617,0
1.1927,44.775,8.1875,1.0113e+05,0.13212,295.38,0.091496,0.047376,0
1.1924,45.298,7.0831,1.0109e+05,0.13308,295.35,0.10688,0.049979,0
1.1922,45.699,6.0425,1.0106e+05,0.13381,295.33,0.12373,0.052403,0
1.192,45.997,5.0644,1.0104e+05,0.13433,295.31,0.14211,0.05462,0
1.1918,46.205,4.1414,1.0102e+05,0.13466,295.29,0.16207,0.0566,0
1.1917,46.335,3.2719,1.0101e+05,0.13484,295.28,0.18364,0.058315,0
1.1916,46.397,2.4565,1.01e+05,0.13488,295.27,0.20684,0.059732,0
1.1915,46.398,1.694,1.0099e+05,0.13478,295.27,0.23165,0.060825,0
1.1915,46.346,0.98242,1.0099e+05,0.13457,295.27,0.25804,0.061567,0
1.1915,46.248,0.32147,1.0099e+05,0.13426,295.27,0.28594,0.061939,0
1.1915,46.11,-0.28738,1.0099e+05,0.13385,295.28,0.31527,0.061929,0
1.1915,45.94,-0.84481,1.0099e+05,0.13338,295.29,0.3459,0.06153,0
1.1915,45.742,-1.3521,1.01e+05,0.13284,295.29,0.37767,0.060745,0
1.1916,45.524,-1.811,1.0101e+05,0.13225,295.31,0.4104,0.059588,0
1.1917,45.291,-2.2227,1.0102e+05,0.13162,295.32,0.44388,0.058078,0
1.1918,45.048,-2.5909,1.0103e+05,0.13097,295.33,0.47789,0.056243,0
1.1919,44.8,-2.9186,1.0104e+05,0.13031,295.35,0.51219,0.054118,0
1.1919,44.551,-3.2097,1.0106e+05,0.12964,295.36,0.54652,0.051743,0
1.192,44.303,-3.4688,1.0107e+05,0.12898,295.37,0.58063,0.049159,0
1.1921,44.059,-3.6989,1.0108e+05,0.12832,295.39,0.61429,0.046411,0
1.1923,43.821,-3.9053,1.011e+05,0.12768,295.4,0.64725,0.043542,0
1.1924,43.589,-4.092,1.0111e+05,0.12706,295.42,0.67931,0.040595,0
1.1925,43.366,-4.26,1.0112e+05,0.12646,295.43,0.71028,0.037608,0
1.1925,43.152,-4.4138,1.0114e+05,0.12588,295.44,0.74,0.034617,0
1.1926,42.947,-4.5575,1.0115e+05,0.12533,295.45,0.76834,0.031655,0
1.1927,42.753,-4.6907,1.0116e+05,0.12481,295.46,0.7952,0.02875,0
1.1928,42.571,-4.8149,1.0117e+05,0.12432,295.47,0.82051,0.025925,0
1.1929,42.402,-4.9347,1.0118e+05,0.12387,295.48,0.84424,0.0232,0
1.193,42.248,-5.0487,1.0119e+05,0.12347,295.48,0.86636,0.020592,0
1.1932,42.115,-5.1578,1.012e+05,0.12312,295.48,0.88689,0.018111,0
1.1933,42.006,-5.2684,1.0121e+05,0.12285,295.48,0.90586,0.015767,0
1.1934,41.926,-5.3765,1.0122e+05,0.12266,295.47,0.92332,0.013565,0
1.1935,41.881,-5.4868,1.0122e+05,0.12257,295.46,0.93933,0.011508,0
1.1936,41.874,-5.6027,1.0123e+05,0.1226,295.44,0.95396,0.009595,0
1.1936,41.896,-5.7137,1.0122e+05,0.12271,295.42,0.96728,0.007825,0
1.1935,41.919,-5.7869,1.0121e+05,0.1228,295.41,0.9794,0.006181,0
1.1926,41.836,-5.6289,1.0116e+05,0.12249,295.5,0.99045,0.004558,0
1.18,36.495,-6.2536,1.0008e+05,0.10771,295.47,1.0012,0.0025,0
1.1682,31.242,0.00020993,99038,0.09327,295.33,1.0008,0,0
1.1682,31.242,7.0562,99038,0.093271,295.32,1.0012,-0.0025,0
1.1955,34.9,3.7963,1.012e+05,0.10197,294.91,1.003,-0.0041,0
1.1962,35.383,4.2727,1.0121e+05,0.10356,294.77,0.99097,-0.006781,0
1.197,36.217,4.8452,1.0123e+05,0.10619,294.61,0.97974,-0.008658,0
1.1972,36.838,4.949,1.0124e+05,0.10802,294.6,0.96757,-0.010329,0
1.1971,37.332,4.9427,1.0124e+05,0.10944,294.61,0.95423,-0.01208,0
1.197,37.747,4.9038,1.0123e+05,0.11062,294.62,0.9396,-0.013967,0
1.1969,38.113,4.853,1.0123e+05,0.11165,294.63,0.92358,-0.016001,0
1.1967,38.446,4.7921,1.0122e+05,0.11259,294.64,0.90612,-0.018183,0
1.1966,38.755,4.7201,1.0121e+05,0.11346,294.64,0.88714,-0.020509,0
1.1965,39.046,4.6429,1.012e+05,0.11427,294.65,0.8666,-0.022973,0
1.1964,39.324,4.5558,1.0119e+05,0.11504,294.64,0.84447,-0.025568,0
1.1963,39.592,4.4591,1.0118e+05,0.11579,294.64,0.82075,-0.028281,0
1.1961,39.852,4.3551,1.0116e+05,0.1165,294.63,0.79543,-0.031096,0
1.196,40.107,4.24,1.0115e+05,0.11721,294.62,0.76856,-0.033993,0
1.1959,40.358,4.1128,1.0114e+05,0.1179,294.61,0.74022,-0.036947,0
1.1958,40.607,3.9745,1.0113e+05,0.11858,294.6,0.71049,-0.039932,0
1.1958,40.857,3.8216,1.0111e+05,0.11926,294.59,0.67951,-0.042914,0
1.1957,41.108,3.6499,1.011e+05,0.11995,294.57,0.64745,-0.045858,0
1.1956,41.359,3.4589,1.0109e+05,0.12063,294.56,0.61447,-0.048724,0
1.1955,41.613,3.2451,1.0107e+05,0.12132,294.54,0.58081,-0.05147,0
1.1954,41.867,3.0034,1.0106e+05,0.12201,294.52,0.54668,-0.054053,0
1.1953,42.12,2.7314,1.0105e+05,0.12269,294.51,0.51234,-0.056428,0
1.1952,42.371,2.4245,1.0104e+05,0.12337,294.49,0.47803,-0.058554,0
1.1951,42.615,2.0793,1.0102e+05,0.12403,294.48,0.444,-0.06039,0
1.1951,42.848,1.6929,1.0101e+05,0.12466,294.46,0.4105,-0.061903,0
1.195,43.066,1.2621,1.0101e+05,0.12525,294.45,0.37775,-0.063064,0
1.195,43.262,0.78557,1.01e+05,0.12579,294.44,0.34596,-0.063853,0
1.195,43.433,0.26199,1.0099e+05,0.12627,294.43,0.31531,-0.064257,0
1.195,43.57,-0.30994,1.0099e+05,0.12667,294.42,0.28595,-0.064274,0
1.195,43.667,-0.93061,1.0099e+05,0.12698,294.41,0.25802,-0.063909,0
1.1951,43.718,-1.5983,1.01e+05,0.12719,294.41,0.2316,-0.063174,0
1.1951,43.717,-2.3132,1.01e+05,0.12728,294.41,0.20675,-0.06209,0
1.1952,43.655,-3.0767,1.0101e+05,0.12723,294.42,0.18351,-0.060682,0
1.1954,43.526,-3.8895,1.0103e+05,0.12705,294.43,0.1619,-0.058978,0
1.1955,43.319,-4.7502,1.0105e+05,0.12669,294.44,0.14189,-0.057008,0
1.1957,43.024,-5.6594,1.0107e+05,0.12616,294.46,0.12346,-0.054802,0
1.196,42.628,-6.623,1.011e+05,0.12541,294.48,0.10655,-0.05239,0
1.1963,42.113,-7.6406,1.0114e+05,0.12442,294.51,0.091103,-0.049798,0
1.1967,41.458,-8.7146,1.0118e+05,0.12315,294.55,0.077053,-0.047048,0
1.1972,40.632,-9.8492,1.0124e+05,0.12153,294.6,0.064321,-0.044158,0
1.1978,39.595,-11.043,1.0131e+05,0.11947,294.66,0.052829,-0.04114,0
1.1985,38.291,-12.287,1.014e+05,0.11687,294.73,0.042497,-0.037997,0
1.1994,36.643,-13.559,1.0151e+05,0.11354,294.84,0.033251,-0.034722,0
1.2006,34.551,-14.808,1.0166e+05,0.10922,294.97,0.02502,-0.031298,0
1.2021,31.88,-15.927,1.0185e+05,0.10353,295.15,0.017747,-0.027688,0
1.204,28.481,-16.704,1.0209e+05,0.09591,295.39,0.011394,-0.023837,0
1.2063,24.253,-16.751,1.0239e+05,0.085605,295.69,0.005966,-0.019676,0
1.209,19.331,-15.464,1.0274e+05,0.071882,296.05,0.001529,-0.015139,0
1.2116,14.406,-12.186,1.0309e+05,0.054816,296.41,-0.001771,-0.010227,0
1.2133,10.862,-6.7525,1.0332e+05,0.037699,296.66,-0.003754,-0.005087,0
1.2138,9.6467,-6.0976e-05,1.0339e+05,0.029852,296.74,-0.004382,-0,0
1.2133,10.862,6.7524,1.0332e+05,0.037699,296.66,-0.003754,0.005087,0
1.2116,14.406,12.186,1.0309e+05,0.054815,296.41,-0.001771,0.010227,0
1.209,19.331,15.464,1.0274e+05,0.071882,296.05,0.001529,0.015139,0
1.2063,24.253,16.751,1.0239e+05,0.085605,295.69,0.005966,0.019676,0
1.204,28.481,16.704,1.0209e+05,0.09591,295.39,0.011394,0.023837,0
1.2021,31.88,15.927,1.0185e+05,0.10353,295.15,0.017747,0.027688,0
