"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.0066,667.29,-0.38215,87997,1.9074,304.54,8.3,0.5359,0
1.0066,667.48,-0.37603,87999,1.908,304.54,8.4,0.5359,0
1.0071,667.5,-0.36566,88061,1.9078,304.6,8.5,0.5359,0
1.0082,667.33,-0.35059,88188,1.907,304.73,8.6,0.5359,0
1.0098,666.96,-0.33056,88380,1.9053,304.91,8.7,0.5359,0
1.0119,666.39,-0.30555,88640,1.9029,305.17,8.8,0.5359,0
1.0145,665.63,-0.27588,88965,1.8997,305.48,8.9,0.5359,0
1.0177,664.67,-0.2422,89351,1.8958,305.86,9,0.5359,0
1.0213,663.55,-0.20549,89791,1.8913,306.29,9.1,0.5359,0
1.0252,662.29,-0.16697,90277,1.8863,306.75,9.2,0.5359,0
1.0295,660.92,-0.12808,90797,1.8808,307.25,9.3,0.5359,0
1.0339,659.47,-0.090272,91340,1.8751,307.78,9.4,0.5359,0
1.0384,657.98,-0.054948,91895,1.8693,308.31,9.5,0.5359,0
1.0429,656.48,-0.023353,92451,1.8634,308.83,9.6,0.5359,0
1.0473,655.01,0.0034955,92997,1.8577,309.35,9.7,0.5359,0
1.0515,653.58,0.024842,93527,1.8522,309.85,9.8,0.5359,0
1.0556,652.21,0.040051,94033,1.8469,310.32,9.9,0.5359,0
1.0576,651.54,0.04604,94281,1.8443,310.55,10,0.5359,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0,0.1,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.1,0.1,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.2,0.1,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.3,0.1,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.4,0.1,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.5,0.1,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.6,0.1,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.7,0.1,0
1.2041,660,-5e-07,1.0132e+05,1.9229,293.15,0.8,0.1,0
1.2041,660,-1.5e-06,1.0133e+05,1.9229,293.15,0.9,0.1,0
1.2041,660,-4.5e-06,1.0133e+05,1.9229,293.15,1,0.1,0
1.2041,660,-1.4e-05,1.0133e+05,1.9229,293.15,1.1,0.1,0
1.2041,660,-3.75e-05,1.0133e+05,1.9229,293.15,1.2,0.1,0
1.2041,660,-8.4e-05,1.0133e+05,1.9229,293.15,1.3,0.1,0
1.2041,659.99,-0.000103,1.0133e+05,1.9228,293.16,1.4,0.1,0
1.2041,659.98,0.0003885,1.0134e+05,1.9227,293.2,1.5,0.1,0
1.2042,659.91,0.0041845,1.0139e+05,1.9221,293.32,1.6,0.1,0
1.2045,659.7,0.025023,1.0156e+05,1.9201,293.74,1.7,0.1,0
1.2053,658.98,0.1254,1.0214e+05,1.9132,295.2,1.8,0.1,0
1.208,656.47,0.58469,1.0412e+05,1.8899,300.28,1.9,0.1,0
1.3316,633.43,12.881,1.2192e+05,1.7778,317.23,2,0.1,0
1.5725,592.15,40.842,1.5455e+05,1.6085,340.38,2.1,0.12612,0
1.7893,555.09,71.712,1.8459e+05,1.4788,357.78,2.2,0.15225,0
1.9501,526.8,97.397,2.0721e+05,1.392,369.32,2.3,0.17838,0
2.0437,509.42,114.97,2.2048e+05,1.3448,375.52,2.4,0.2045,0
2.0829,501.26,125.37,2.2595e+05,1.326,377.86,2.5,0.23063,0
2.0901,498.85,130.9,2.2681e+05,1.3232,378.05,2.6,0.25675,0
2.0839,499.16,133.61,2.2571e+05,1.3269,377.36,2.7,0.28288,0
2.0745,500.3,134.83,2.242e+05,1.3321,376.52,2.8,0.309,0
2.0661,501.5,135.3,2.2286e+05,1.3367,375.8,2.9,0.33512,0
2.0597,502.48,135.44,2.2185e+05,1.3402,375.26,3,0.36125,0
2.0551,503.23,135.43,2.2113e+05,1.3427,374.87,3.1,0.38738,0
2.0519,503.79,135.4,2.2062e+05,1.3446,374.59,3.2,0.4135,0
2.0495,504.24,135.37,2.2023e+05,1.3461,374.37,3.3,0.43963,0
2.0474,504.67,135.37,2.1989e+05,1.3475,374.17,3.4,0.46575,0
2.0452,505.12,135.41,2.1954e+05,1.349,373.98,3.5,0.49188,0
2.0427,505.65,135.49,2.1914e+05,1.3508,373.75,3.6,0.518,0
2.0395,506.32,135.61,2.1863e+05,1.3531,373.46,3.7,0.54413,0
2.0352,507.28,135.8,2.1786e+05,1.3566,372.93,3.8,0.57025,0
2.027,509.43,136.21,2.1585e+05,1.3658,370.97,3.9,0.59638,0
1.8273,538.26,126.89,1.8752e+05,1.4657,355.75,4,0.6225,0
1.5276,580.97,105.49,1.4736e+05,1.6124,334.66,4.1,0.6225,0
1.3585,605.77,82.123,1.2644e+05,1.6987,322.99,4.2,0.6225,0
1.2558,620.85,60.422,1.1443e+05,1.7504,316.47,4.3,0.6225,0
1.1926,630.05,42.101,1.0733e+05,1.7814,312.92,4.4,0.6225,0
1.1538,635.63,27.732,1.0315e+05,1.7997,311.11,4.5,0.6225,0
1.1304,639.01,17.155,1.0073e+05,1.8103,310.29,4.6,0.6225,0
1.1167,641.06,9.8159,99378,1.8165,309.98,4.7,0.6225,0
1.1088,642.36,5.0212,98637,1.8202,309.92,4.8,0.6225,0
1.1041,643.28,2.0919,98220,1.8228,309.94,4.9,0.6225,0
1.1011,644.03,0.44594,97950,1.8249,309.94,5,0.6225,0
1.0987,644.76,-0.37422,97723,1.8272,309.89,5.1,0.6225,0
1.0965,645.53,-0.69877,97485,1.8298,309.76,5.2,0.6225,0
1.0941,646.36,-0.74873,97211,1.8327,309.56,5.3,0.6225,0
1.0914,647.26,-0.6649,96897,1.836,309.31,5.4,0.6225,0
1.0885,648.22,-0.53199,96547,1.8397,309.01,5.5,0.6225,0
