"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.1746,69.029,-14.545,99469,0.20515,295.01,-0.20999,-0.98793,0
1.1774,65.223,-20.929,99816,0.19909,295.34,-0.31211,-0.96057,0
1.1805,60.155,-26.375,1.0021e+05,0.19079,295.72,-0.4108,-0.92268,0
1.184,54.057,-30.642,1.0065e+05,0.18036,296.13,-0.505,-0.87469,0
1.1876,47.203,-33.547,1.011e+05,0.16796,296.57,-0.59366,-0.81711,0
1.1913,39.898,-34.969,1.0157e+05,0.15377,297,-0.67582,-0.75058,0
1.195,32.468,-34.854,1.0202e+05,0.13796,297.43,-0.75058,-0.67582,0
1.1984,25.236,-33.218,1.0245e+05,0.12074,297.83,-0.81711,-0.59366,0
1.2015,18.517,-30.143,1.0284e+05,0.10232,298.2,-0.87469,-0.505,0
1.2041,12.597,-25.774,1.0318e+05,0.082923,298.51,-0.92268,-0.4108,0
1.2063,7.724,-20.311,1.0345e+05,0.062778,298.76,-0.96057,-0.31211,0
1.2078,4.0998,-14.003,1.0364e+05,0.042126,298.95,-0.98793,-0.20999,0
1.2087,1.8676,-7.1357,1.0376e+05,0.021294,299.05,-1.0045,-0.10557,0
1.2089,1.1136,-0.00014597,1.0379e+05,0.010883,299.08,-1.01,-0,0
1.2087,1.8676,7.1354,1.0376e+05,0.021293,299.05,-1.0045,0.10557,0
1.2078,4.0997,14.003,1.0364e+05,0.042125,298.95,-0.98793,0.20999,0
1.2063,7.7239,20.311,1.0345e+05,0.062777,298.77,-0.96057,0.31211,0
1.2041,12.597,25.773,1.0318e+05,0.082922,298.51,-0.92268,0.4108,0
1.2015,18.517,30.143,1.0284e+05,0.10232,298.2,-0.87469,0.505,0
1.1984,25.236,33.218,1.0245e+05,0.12074,297.84,-0.81711,0.59366,0
1.195,32.468,34.854,1.0202e+05,0.13796,297.43,-0.75058,0.67582,0
1.1913,39.898,34.969,1.0157e+05,0.15377,297,-0.67582,0.75058,0
1.1876,47.202,33.547,1.011e+05,0.16796,296.57,-0.59366,0.81711,0
1.184,54.057,30.642,1.0065e+05,0.18036,296.13,-0.505,0.87469,0
1.1805,60.155,26.375,1.0021e+05,0.19078,295.72,-0.4108,0.92268,0
1.1774,65.223,20.929,99816,0.19909,295.34,-0.31211,0.96057,0
1.1746,69.029,14.545,99469,0.20515,295.01,-0.20999,0.98793,0
1.1723,71.398,7.505,99183,0.20888,294.73,-0.10557,1.0045,0
1.1706,72.223,0.12535,98964,0.21021,294.52,-0,1.01,0
1.1694,71.467,-7.2632,98815,0.20913,294.36,0.10557,1.0045,0
1.1689,69.164,-14.329,98736,0.20567,294.27,0.20999,0.98793,0
1.1688,65.423,-20.758,98725,0.19986,294.25,0.31211,0.96057,0
1.1693,60.413,-26.263,98775,0.19181,294.28,0.4108,0.92268,0
1.1702,54.361,-30.603,98880,0.18162,294.36,0.505,0.87469,0
1.1715,47.538,-33.589,99027,0.16942,294.48,0.59366,0.81711,0
1.173,40.245,-35.093,99207,0.15538,294.64,0.67582,0.75058,0
1.1746,32.801,-35.049,99405,0.13964,294.82,0.75058,0.67582,0
1.1763,25.534,-33.463,99610,0.12241,295,0.81711,0.59366,0
1.1779,18.761,-30.406,99810,0.10386,295.19,0.87469,0.505,0
1.1794,12.776,-26.02,99994,0.084235,295.37,0.92268,0.4108,0
1.1805,7.8416,-20.509,1.0015e+05,0.063777,295.55,0.96057,0.31211,0
1.1811,4.1675,-14.134,1.0028e+05,0.042772,295.76,0.98793,0.20999,0
1.1809,1.9041,-7.1967,1.0036e+05,0.021604,296.08,1.0045,0.10557,0
1.1805,1.1395,-3.6274,1.0039e+05,0.011036,296.27,1.01,0,0
1.1816,1.7456,3.4261,1.0051e+05,0.011208,296.34,1.022,0,0
1.182,2.471,6.796,1.0048e+05,0.021068,296.14,1.0164,-0.10683,0
1.1823,4.6157,13.351,1.0039e+05,0.041005,295.81,0.99967,-0.21249,0
1.1818,8.0969,19.391,1.0027e+05,0.061031,295.57,0.97198,-0.31582,0
1.1808,12.781,24.636,1.0012e+05,0.080647,295.37,0.93364,-0.41568,0
1.1795,18.479,28.84,99936,0.099573,295.16,0.88508,-0.511,0
1.1781,24.951,31.804,99739,0.11756,294.94,0.82682,-0.60072,0
1.1766,31.923,33.384,99535,0.13439,294.71,0.75949,-0.68385,0
1.1751,39.094,33.499,99337,0.14984,294.5,0.68385,-0.75949,0
1.1737,46.149,32.132,99158,0.16373,294.3,0.60072,-0.82682,0
1.1726,52.778,29.335,99008,0.17586,294.14,0.511,-0.88508,0
1.1718,58.684,25.223,98899,0.18606,294.02,0.41568,-0.93364,0
1.1714,63.599,19.971,98843,0.1942,293.95,0.31582,-0.97198,0
1.1715,67.297,13.81,98846,0.20015,293.94,0.21249,-0.99967,0
1.1721,69.607,7.0139,98914,0.2038,294,0.10683,-1.0164,0
1.1732,70.421,-0.11226,99051,0.2051,294.12,0,-1.022,0
1.1749,69.699,-7.2464,99256,0.20403,294.3,-0.10683,-1.0164,0
1.1771,67.474,-14.066,99526,0.20059,294.55,-0.21249,-0.99967,0
1.1798,63.848,-20.263,99855,0.19485,294.85,-0.31582,-0.97198,0
1.1828,58.986,-25.558,1.0023e+05,0.18688,295.2,-0.41568,-0.93364,0
1.1862,53.11,-29.715,1.0065e+05,0.1768,295.59,-0.511,-0.88508,0
1.1897,46.488,-32.554,1.0108e+05,0.16476,296,-0.60072,-0.82682,0
1.1933,39.419,-33.953,1.0153e+05,0.15093,296.41,-0.68385,-0.75949,0
1.1968,32.216,-33.858,1.0197e+05,0.13549,296.82,-0.75949,-0.68385,0
1.2001,25.199,-32.283,1.0238e+05,0.11865,297.2,-0.82682,-0.60072,0
1.2031,18.673,-29.306,1.0276e+05,0.10061,297.55,-0.88508,-0.511,0
1.2056,12.918,-25.068,1.0308e+05,0.081601,297.85,-0.93364,-0.41568,0
1.2077,8.1776,-19.762,1.0334e+05,0.061853,298.1,-0.97198,-0.31582,0
1.2091,4.6488,-13.63,1.0353e+05,0.041626,298.27,-0.99967,-0.21249,0
1.21,2.472,-6.9477,1.0364e+05,0.021393,298.38,-1.0164,-0.10683,0
1.2103,1.7355,-0.00014549,1.0367e+05,0.011356,298.41,-1.022,-0,0
1.21,2.472,6.9475,1.0364e+05,0.021392,298.38,-1.0164,0.10683,0
1.2091,4.6487,13.63,1.0353e+05,0.041625,298.27,-0.99967,0.21249,0
1.2077,8.1775,19.762,1.0334e+05,0.061852,298.1,-0.97198,0.31582,0
1.2056,12.918,25.067,1.0308e+05,0.0816,297.86,-0.93364,0.41568,0
1.203,18.672,29.306,1.0276e+05,0.10061,297.55,-0.88508,0.511,0
1.2001,25.199,32.283,1.0238e+05,0.11865,297.21,-0.82682,0.60072,0
1.1968,32.216,33.858,1.0197e+05,0.13549,296.82,-0.75949,0.68385,0
1.1933,39.418,33.952,1.0153e+05,0.15093,296.41,-0.68385,0.75949,0
1.1897,46.488,32.553,1.0108e+05,0.16476,296,-0.60072,0.82682,0
1.1862,53.11,29.715,1.0065e+05,0.1768,295.59,-0.511,0.88508,0
1.1828,58.986,25.558,1.0023e+05,0.18688,295.21,-0.41568,0.93364,0
1.1798,63.848,20.263,99855,0.19485,294.85,-0.31582,0.97198,0
1.1771,67.474,14.066,99526,0.20059,294.55,-0.21249,0.99967,0
1.1749,69.699,7.2464,99256,0.20403,294.3,-0.10683,1.0164,0
1.1732,70.421,0.11227,99051,0.2051,294.12,-0,1.022,0
1.1721,69.607,-7.0138,98914,0.2038,294,0.10683,1.0164,0
1.1715,67.297,-13.81,98846,0.20014,293.95,0.21249,0.99967,0
1.1714,63.599,-19.971,98843,0.1942,293.95,0.31582,0.97198,0
1.1718,58.684,-25.223,98899,0.18606,294.02,0.41568,0.93364,0
1.1726,52.778,-29.335,99008,0.17585,294.14,0.511,0.88508,0
1.1737,46.149,-32.132,99158,0.16372,294.31,0.60072,0.82682,0
1.1751,39.093,-33.498,99338,0.14984,294.5,0.68385,0.75949,0
1.1765,31.923,-33.383,99535,0.13439,294.72,0.75949,0.68385,0
1.1781,24.951,-31.803,99739,0.11756,294.94,0.82682,0.60072,0
1.1795,18.478,-28.839,99937,0.099569,295.16,0.88508,0.511,0
1.1808,12.781,-24.635,1.0012e+05,0.080643,295.37,0.93364,0.41568,0
1.1818,8.0965,-19.389,1.0027e+05,0.061026,295.58,0.97198,0.31582,0
1.1823,4.6154,-13.349,1.0039e+05,0.041,295.82,0.99967,0.21249,0
1.1819,2.4709,-6.7941,1.0048e+05,0.021063,296.15,1.0164,0.10683,0
1.1815,1.7456,-3.4242,1.0051e+05,0.011203,296.35,1.022,0,0
1.1821,2.6386,3.2509,1.0055e+05,0.012193,296.32,1.0364,0,0
1.1826,3.3335,6.4503,1.0052e+05,0.021275,296.12,1.0307,-0.10833,0
1.183,5.3839,12.68,1.0044e+05,0.039988,295.77,1.0138,-0.21548,0
1.1827,8.7095,18.437,1.0032e+05,0.059217,295.52,0.98567,-0.32026,0
1.1818,13.191,23.46,1.0017e+05,0.078205,295.29,0.9468,-0.42154,0
1.1807,18.657,27.512,99999,0.09664,295.05,0.89755,-0.5182,0
1.1794,24.886,30.398,99807,0.11427,294.8,0.83846,-0.60918,0
1.1781,31.619,31.971,99609,0.13085,294.54,0.7702,-0.69349,0
1.1768,38.567,32.142,99417,0.14616,294.3,0.69349,-0.7702,0
1.1756,45.427,30.884,99242,0.15999,294.08,0.60918,-0.83846,0
1.1747,51.892,28.239,99095,0.17212,293.89,0.5182,-0.89755,0
1.174,57.669,24.31,98989,0.18238,293.74,0.42154,-0.9468,0
1.1737,62.493,19.264,98932,0.1906,293.65,0.32026,-0.98567,0
1.1738,66.137,13.323,98934,0.19665,293.62,0.21548,-1.0138,0
1.1744,68.431,6.7528,98999,0.20042,293.66,0.10833,-1.0307,0
1.1756,69.266,-0.14822,99131,0.20185,293.76,0,-1.0364,0
1.1773,68.601,-7.0651,99328,0.20091,293.93,-0.10833,-1.0307,0
1.1794,66.468,-13.682,99590,0.19762,294.16,-0.21548,-1.0138,0
1.1821,62.965,-19.696,99908,0.19203,294.44,-0.32026,-0.98567,0
1.1851,58.258,-24.837,1.0027e+05,0.18423,294.78,-0.42154,-0.9468,0
1.1883,52.562,-28.874,1.0068e+05,0.17435,295.14,-0.5182,-0.89755,0
1.1918,46.139,-31.631,1.011e+05,0.16252,295.53,-0.60918,-0.83846,0
1.1953,39.278,-32.99,1.0154e+05,0.14892,295.93,-0.69349,-0.7702,0
1.1987,32.287,-32.9,1.0196e+05,0.13374,296.32,-0.7702,-0.69349,0
1.2019,25.474,-31.372,1.0236e+05,0.11717,296.69,-0.83846,-0.60918,0
1.2048,19.135,-28.482,1.0273e+05,0.099422,297.03,-0.89755,-0.5182,0
1.2073,13.543,-24.365,1.0304e+05,0.080725,297.32,-0.9468,-0.42154,0
1.2094,8.9357,-19.211,1.033e+05,0.06132,297.55,-0.98567,-0.32026,0
1.2108,5.5024,-13.252,1.0348e+05,0.041513,297.73,-1.0138,-0.21548,0
1.2116,3.3807,-6.7566,1.0358e+05,0.022057,297.83,-1.0307,-0.10833,0
1.2119,2.6613,-0.00014406,1.0362e+05,0.012561,297.86,-1.0364,-0,0
1.2116,3.3807,6.7563,1.0358e+05,0.022056,297.83,-1.0307,0.10833,0
1.2108,5.5024,13.252,1.0348e+05,0.041511,297.73,-1.0138,0.21548,0
1.2094,8.9356,19.211,1.033e+05,0.061319,297.55,-0.98567,0.32026,0
1.2073,13.543,24.365,1.0304e+05,0.080724,297.32,-0.9468,0.42154,0
1.2048,19.135,28.481,1.0273e+05,0.099421,297.03,-0.89755,0.5182,0
1.2019,25.473,31.372,1.0236e+05,0.11717,296.69,-0.83846,0.60918,0
1.1987,32.287,32.9,1.0196e+05,0.13374,296.32,-0.7702,0.69349,0
1.1953,39.278,32.99,1.0154e+05,0.14892,295.93,-0.69349,0.7702,0
1.1918,46.139,31.631,1.011e+05,0.16252,295.54,-0.60918,0.83846,0
1.1883,52.562,28.874,1.0068e+05,0.17435,295.15,-0.5182,0.89755,0
1.185,58.257,24.837,1.0027e+05,0.18423,294.78,-0.42154,0.9468,0
1.182,62.965,19.696,99908,0.19203,294.45,-0.32026,0.98567,0
1.1794,66.467,13.682,99590,0.19762,294.16,-0.21548,1.0138,0
